filename, language, JSON, PHP, YAML, Ignore, CSS, JavaScript, HTML (Twig), Less, XML, SCSS, comment, blank, total
public\fonts\font-awesome-4.7.0\fonts\fontawesome-webfont.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 2671, 0, 0, 1, 2672
public\fonts\font-awesome-4.7.0\less\animated.less, Less, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 5, 35
public\fonts\font-awesome-4.7.0\less\bordered-pulled.less, Less, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 6, 26
public\fonts\font-awesome-4.7.0\less\core.less, Less, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 3, 13
public\fonts\font-awesome-4.7.0\less\fixed-width.less, Less, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 1, 7
public\fonts\font-awesome-4.7.0\less\font-awesome.less, Less, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 2, 19
public\fonts\font-awesome-4.7.0\less\icons.less, Less, 0, 0, 0, 0, 0, 0, 0, 786, 0, 0, 2, 2, 790
public\fonts\font-awesome-4.7.0\less\larger.less, Less, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 2, 14
public\fonts\font-awesome-4.7.0\less\list.less, Less, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 2, 20
public\fonts\font-awesome-4.7.0\less\mixins.less, Less, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 10, 10, 61
public\fonts\font-awesome-4.7.0\less\path.less, Less, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 2, 16
public\fonts\font-awesome-4.7.0\less\rotated-flipped.less, Less, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 5, 21
public\fonts\font-awesome-4.7.0\less\screen-reader.less, Less, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
public\fonts\font-awesome-4.7.0\less\stacked.less, Less, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 2, 21
